name,is_open,latitude,longitude,stars_x,cool,funny,stars_y,simid,usid,penne alla vodka score,penne alla vodka ratio,tacos score,tacos ratio,taco|tacos score,taco|tacos ratio,taco score,taco ratio,Weighted taco score,geometry,x,y,Weighted taco score 2
Viajero Cantina,1.0,43.655278599999995,-79.4563399,4.5,0.09090909090909091,0.0,4.7272727272727275,3032.0,45852.36363636364,,,,,5.158147590910548,0.8181818181818182,5.1552158526662195,0.8181818181818182,6.325280893227439,POINT (-79.4563399 43.6552786),-79.4563399,43.655278599999995,1.0
El Nahual Tacos,1.0,43.666327400000135,-79.40658739999994,4.5,0.8869565217391304,0.3565217391304348,4.643478260869565,2257.0,40018.7652173913,,,4.66818249183201,0.7739130434782598,4.666684776731014,0.8434782608695642,4.669679163245477,0.8434782608695642,5.765892370896283,POINT (-79.40658739999994 43.66632740000014),-79.40658739999994,43.666327400000135,0.8764438295703869
Itacate,1.0,43.67939085469999,-79.43716116250003,4.5,0.5142857142857142,0.5428571428571428,4.457142857142857,4658.0,44200.4,,,4.460557691399876,0.7142857142857144,4.523210307463122,0.8571428571428574,4.515759361634536,0.8571428571428574,5.594920169193583,POINT (-79.43716116250003 43.67939085469999),-79.43716116250003,43.67939085469999,0.8386799684095044
Fish Street Market & Open Kitchen,0.0,43.7143052,-79.40013900000001,4.5,0.13846153846153847,0.12307692307692308,4.461538461538462,6327.0,43263.61538461538,,,4.65790548963651,0.21538461538461512,4.687703455199463,0.36923076923076903,4.68778303570097,0.36923076923076903,5.141102048102209,POINT (-79.40013900000001 43.7143052),-79.40013900000001,43.7143052,0.7384418925906765
La Marquesita,1.0,43.657343100000006,-79.3810078,4.0,0.15384615384615385,0.0,4.076923076923077,1226.0,44746.307692307695,,,,,4.319006131344402,0.6923076923076923,4.316549348570098,0.6923076923076923,5.132193980406272,POINT (-79.38100780000001 43.65734310000001),-79.3810078,43.657343100000006,0.7364743035421006
Mister Frenchy,0.0,43.6789095,-79.3441877,4.0,0.5,1.0,4.233333333333333,1893.0,47088.833333333336,,,,,4.368142853696269,0.633333333333333,4.369972037467381,0.633333333333333,5.119669794303195,POINT (-79.34418770000001 43.6789095),-79.3441877,43.6789095,0.7337079963855018
Perola Supermarket,1.0,43.65494260000001,-79.40196,4.0,1.0,0.2,3.933333333333333,2265.0,44018.46666666667,,,,,4.614202307353067,0.4000000000000001,4.608986532754235,0.4000000000000001,5.093717877802295,POINT (-79.40196 43.65494260000001),-79.40196,43.65494260000001,0.7279758097385579
Me.n.u Food Truck,1.0,43.64852029999998,-79.39798549999999,4.0,1.4666666666666666,0.4666666666666667,4.066666666666666,1630.0,35496.73333333333,,,,,4.275713141037951,0.6999999999999996,4.271526207245045,0.6999999999999996,5.088439433541195,POINT (-79.39798549999999 43.64852029999998),-79.39798549999999,43.64852029999998,0.7268099217507069
El Pocho Antojitos Bar,1.0,43.66964090000006,-79.4134258,4.5,0.3,0.1,4.266666666666667,4795.0,32730.55,,,4.293193643883172,0.5833333333333331,4.310448642436319,0.6499999999999992,4.31038901108139,0.6499999999999992,5.070949903946414,POINT (-79.4134258 43.66964090000006),-79.4134258,43.66964090000006,0.7229468834274657
Hotmess Tex Mex,1.0,43.65495429999999,-79.41463879999998,4.0,0.16666666666666666,0.125,4.0,6234.0,42774.666666666664,,,,,4.443070575351261,0.5,4.43222919664825,0.5,5.022373657819587,POINT (-79.41463879999998 43.65495429999999),-79.41463879999998,43.65495429999999,0.7122174982047135
Her Father's Cider Bar & Kitchen,1.0,43.66232560000005,-79.40457059999983,4.5,0.5714285714285714,0.22077922077922077,4.623376623376624,590.0,37101.896103896106,,,,,4.851240336456233,0.03896103896103903,4.870103286253433,0.03896103896103903,4.9177711289439765,POINT (-79.40457059999983 43.66232560000005),-79.40457059999983,43.66232560000005,0.6891131845315196
Superfood Eateries,0.0,43.64807040000004,-79.38983850000012,4.5,0.203125,0.125,4.46875,2482.0,43535.21875,,,4.623719393575135,0.1875,4.676591787096976,0.203125,4.674069775212951,0.203125,4.917554796483017,POINT (-79.38983850000012 43.64807040000004),-79.38983850000012,43.64807040000004,0.6890654016233105
Tacos Baos,0.0,43.661972999999996,-79.4265865,4.0,0.3,0.05,3.9,1099.0,37611.9,,,3.942973324379308,0.6999999999999997,3.8885208045631297,0.9,3.9034121522021232,0.9,4.888331708862094,POINT (-79.4265865 43.661973),-79.4265865,43.661972999999996,0.6826106878592109
Completo,1.0,43.66263280000014,-79.33405750000016,4.5,0.4864864864864865,0.2905405405405405,4.391891891891892,6468.0,39774.68918918919,,,4.417353310145436,0.3648648648648637,4.4252685432450445,0.39189189189189294,4.414518849757198,0.39189189189189294,4.868918411274421,POINT (-79.33405750000016 43.66263280000014),-79.33405750000016,43.66263280000014,0.6783227330485767
El Charro,1.0,43.67714280000003,-79.35900649999992,4.0,0.09523809523809523,0.25396825396825395,4.190476190476191,296.0,40155.4126984127,,,4.273254640128041,0.4761904761904754,4.218748333864199,0.5396825396825403,4.216569300382674,0.5396825396825403,4.825635665898551,POINT (-79.35900649999992 43.67714280000003),-79.35900649999992,43.67714280000003,0.6687625614489946
Mavrik Wine Bar,0.0,43.64661249999997,-79.40735670000002,4.0,1.0606060606060606,0.7272727272727273,3.878787878787879,4846.0,44589.90909090909,,,,,4.411737447027691,0.3030303030303029,4.468707859029333,0.3030303030303029,4.8203998113050135,POINT (-79.40735670000002 43.64661249999997),-79.40735670000002,43.64661249999997,0.6676060805476565
MEXITACO,1.0,43.70861810000003,-79.29568329999991,4.0,0.6542056074766355,0.27102803738317754,3.9626168224299065,2403.0,36263.04672897196,,,4.136298476608887,0.5794392523364492,4.09372361927008,0.644859813084111,4.100420915483129,0.644859813084111,4.817738292539379,POINT (-79.29568329999991 43.70861810000003),-79.29568329999991,43.70861810000003,0.6670182117354078
